날짜,시가,고가,저가,종가,거래량,거래대금,등락률
2021-01-04,4895,4990,4845,4990,541483,2669964780,1.94
2021-01-05,4935,5040,4930,5030,700145,3497765110,0.8
2021-01-06,5060,5060,4925,4970,493521,2455860270,-1.19
2021-01-07,4980,4985,4900,4930,406522,2007038840,-0.8
2021-01-08,4930,4965,4860,4905,523197,2564450855,-0.51
2021-01-11,4905,4905,4675,4690,631358,3003044415,-4.38
2021-01-12,4690,4770,4630,4725,333509,1570346425,0.75
2021-01-13,4730,4820,4730,4815,257149,1233446480,1.9
2021-01-14,4880,4910,4785,4900,510386,2484125430,1.77
2021-01-15,4935,4940,4795,4830,331766,1605557290,-1.43
2021-01-18,4920,4920,4750,4810,295915,1422599015,-0.41
2021-01-19,4810,5100,4750,4905,707708,3473725080,1.98
2021-01-20,4905,4910,4795,4870,246196,1194798690,-0.71
2021-01-21,4875,5280,4875,5010,1858690,9385519115,2.87
2021-01-22,5020,5250,4955,5220,1547629,7990770515,4.19
2021-01-25,5360,6170,5320,5950,8453962,49276275460,13.98
2021-01-26,6170,7270,6080,6780,16025304,107558313580,13.95
2021-01-27,6760,6870,6500,6600,2707035,17943837560,-2.65
2021-01-28,6470,7180,6460,6950,5857312,40396633270,5.3
2021-01-29,6850,7200,6710,6890,3327150,23268690070,-0.86
2021-02-01,6890,7050,6660,6880,1490596,10298633650,-0.15
2021-02-02,6880,7040,6580,6640,1436450,9774256910,-3.49
2021-02-03,6680,6810,6630,6730,853114,5728803030,1.36
2021-02-04,6690,6850,6650,6710,667311,4480795490,-0.3
2021-02-05,6800,6820,6570,6760,702846,4705440550,0.75
2021-02-08,6670,6740,6320,6350,1162509,7496856820,-6.07
2021-02-09,6380,6550,6310,6470,637233,4089740820,1.89
2021-02-10,6470,6500,6120,6290,947516,5912948730,-2.78
2021-02-15,6240,6440,6190,6290,741030,4652982660,0.0
2021-02-16,6320,6380,6190,6310,418781,2619819730,0.32
2021-02-17,6310,6330,6160,6250,496757,3090700240,-0.95
2021-02-18,6250,6300,5950,6000,1154132,7003345270,-4.0
2021-02-19,6070,6070,5780,5990,815632,4802666280,-0.17
2021-02-22,5990,6040,5850,5890,464891,2752041910,-1.67
2021-02-23,5860,5870,5670,5730,752925,4320392390,-2.72
2021-02-24,5750,5800,5550,5630,604331,3432433850,-1.75
2021-02-25,5710,5750,5570,5700,492975,2782065830,1.24
2021-02-26,5660,5660,5420,5500,586536,3229447460,-3.51
2021-03-02,5610,5650,5500,5590,342168,1903110700,1.64
2021-03-03,5590,5780,5550,5760,375735,2144784360,3.04
2021-03-04,5710,5800,5660,5790,274611,1572924410,0.52
2021-03-05,5750,5950,5720,5900,628775,3688461130,1.9
2021-03-08,5980,6030,5920,5990,472249,2821084570,1.53
2021-03-09,6020,6020,5780,5870,445075,2610626690,-2.0
2021-03-10,5870,6000,5750,5850,322172,1893283520,-0.34
2021-03-11,5860,6070,5780,6010,880814,5272040930,2.74
2021-03-12,6170,6840,6120,6530,9248549,60665664970,8.65
2021-03-15,6630,6670,6480,6540,1202452,7899654860,0.15
2021-03-16,6600,6600,6450,6460,677014,4394777930,-1.22
2021-03-17,6480,6520,6370,6460,563875,3627922140,0.0
2021-03-18,6520,6520,6350,6390,524362,3363296370,-1.08
2021-03-19,6350,6470,6280,6330,530960,3370664390,-0.94
2021-03-22,6310,6450,6300,6380,375698,2383065990,0.79
2021-03-23,6390,6400,6070,6100,853557,5283513810,-4.39
2021-03-24,6090,6210,6030,6160,331427,2030605430,0.98
2021-03-25,6120,6210,6090,6150,284281,1746152980,-0.16
2021-03-26,6170,6560,6170,6490,1132142,7301673320,5.53
2021-03-29,6610,6680,6440,6620,1054554,6933667020,2.0
2021-03-30,6660,6710,6550,6560,609865,4024952410,-0.91
2021-03-31,6960,7800,6860,7010,9629965,71150947870,6.86
2021-04-01,7140,7500,7110,7270,3360279,24598878940,3.71
2021-04-02,7270,7740,7100,7320,2240795,16463775640,0.69
2021-04-05,7270,7380,7250,7270,747645,5458616080,-0.68
2021-04-06,7310,7390,7260,7330,596005,4355235850,0.83
2021-04-07,7360,7680,7280,7600,1572474,11826746100,3.68
2021-04-08,7730,8090,7420,7620,2803523,21835919350,0.26
2021-04-09,7510,7680,7500,7560,703040,5328161080,-0.79
2021-04-12,7540,7540,7120,7150,1384809,10033878050,-5.42
2021-04-13,7180,7240,7000,7060,921106,6562769600,-1.26
2021-04-14,7070,7180,7070,7100,400658,2847291290,0.57
2021-04-15,7140,7140,7050,7060,371049,2629887890,-0.56
2021-04-16,7060,7090,7020,7070,334940,2363237130,0.14
2021-04-19,7090,7320,7090,7250,559270,4024556260,2.55
2021-04-20,7280,7280,7130,7140,412356,2954799720,-1.52
2021-04-21,7120,7210,7030,7080,403977,2866930240,-0.84
2021-04-22,7130,7140,6980,7080,490197,3451616840,0.0
2021-04-23,7060,7060,6940,6960,281849,1962941630,-1.69
2021-04-26,6960,7030,6850,7010,428339,2959326690,0.72
2021-04-27,7130,7140,7030,7050,396195,2805326300,0.57
2021-04-28,7010,7100,7010,7040,273837,1929876610,-0.14
2021-04-29,7040,7080,6920,6940,320479,2237052650,-1.42
2021-04-30,6940,6990,6800,6910,326363,2251853060,-0.43
2021-05-03,6910,7060,6880,6960,219050,1526416090,0.72
2021-05-04,6920,6980,6800,6900,244998,1684441980,-0.86
2021-05-06,6950,7130,6880,7110,412917,2899902650,3.04
2021-05-07,7040,7110,6950,7060,469125,3284730250,-0.7
2021-05-10,7120,7290,7080,7240,797516,5748524660,2.55
2021-05-11,7270,7390,7240,7320,691847,5051470330,1.1
2021-05-12,7320,7340,6980,7060,624146,4447324710,-3.55
2021-05-13,6960,7040,6860,6950,420183,2924742150,-1.56
2021-05-14,6970,7040,6900,6930,231169,1605430920,-0.29
2021-05-17,6990,7010,6880,6910,223309,1549730600,-0.29
2021-05-18,6840,6930,6740,6880,449796,3071015790,-0.43
2021-05-20,6810,6880,6770,6820,262941,1787892060,-0.87
2021-05-21,6850,6900,6800,6890,165811,1135976890,1.03
2021-05-24,6890,6890,6650,6670,456437,3075318380,-3.19
2021-05-25,6650,6710,6590,6610,315589,2095464760,-0.9
2021-05-26,6590,6680,6520,6570,364892,2403644580,-0.61
2021-05-27,6590,6820,6570,6820,392586,2645067910,3.81
2021-05-28,6820,7000,6820,6930,372924,2585257470,1.61
2021-05-31,6930,7120,6870,7020,564457,3961441940,1.3
2021-06-01,7020,7150,7000,7050,345706,2438078760,0.43
2021-06-02,7060,7110,6980,7080,378981,2668186190,0.43
2021-06-03,7080,7190,7070,7090,316405,2254491200,0.14
2021-06-04,7120,7120,6890,7070,426424,2991015160,-0.28
2021-06-07,7050,7150,7010,7100,247414,1749588140,0.42
2021-06-08,7100,7130,7030,7060,199349,1406231430,-0.56
2021-06-09,7060,7230,7040,7140,534287,3814393480,1.13
2021-06-10,7140,7200,6970,6980,366053,2582923060,-2.24
2021-06-11,7000,7010,6890,6930,261968,1823354740,-0.72
2021-06-14,6950,7040,6790,6910,508006,3496175820,-0.29
2021-06-15,6840,6920,6800,6830,265247,1815586530,-1.16
2021-06-16,6830,6930,6740,6800,366588,2500958900,-0.44
2021-06-17,6800,6840,6640,6700,465532,3116308570,-1.47
2021-06-18,6740,6740,6600,6720,376601,2507030010,0.3
2021-06-21,6700,6700,6630,6640,175943,1170075350,-1.19
2021-06-22,6680,6800,6670,6760,236051,1586460800,1.81
2021-06-23,6750,6760,6650,6670,184706,1234744980,-1.33
2021-06-24,6640,6710,6620,6670,239628,1596249600,0.0
2021-06-25,6670,6710,6640,6650,248041,1651915820,-0.3
2021-06-28,6650,6680,6640,6670,166857,1109910760,0.3
2021-06-29,6670,6690,6650,6660,128130,854023550,-0.15
2021-06-30,6680,6720,6630,6660,183702,1224982990,0.0
2021-07-01,6660,6680,6540,6560,384905,2534130390,-1.5
2021-07-02,6550,6570,6360,6370,638450,4115954650,-2.9
2021-07-05,6380,6450,6240,6320,448157,2842590030,-0.78
2021-07-06,6300,6530,6300,6470,376244,2433193740,2.37
2021-07-07,6500,6530,6380,6420,197849,1274891720,-0.77
2021-07-08,6450,6450,6250,6280,379033,2391192060,-2.18
2021-07-09,6280,6280,6110,6160,277032,1706770460,-1.91
2021-07-12,6350,6350,6170,6260,223103,1391186830,1.62
2021-07-13,6250,6370,6240,6300,191153,1202473230,0.64
2021-07-14,6280,6290,6230,6250,109389,684141230,-0.79
2021-07-15,6250,6420,6240,6330,204888,1298226690,1.28
2021-07-16,6330,6360,6300,6340,135538,856952970,0.16
2021-07-19,6340,6350,6240,6310,166004,1042633640,-0.47
2021-07-20,6240,6300,6190,6210,183247,1139981150,-1.58
2021-07-21,6210,6260,6200,6200,102081,634512590,-0.16
2021-07-22,6260,6270,6210,6230,124790,777485390,0.48
2021-07-23,6260,6300,6230,6290,82738,518727440,0.96
2021-07-26,6340,6340,6210,6280,145615,909876100,-0.16
2021-07-27,6280,6330,6230,6250,120581,754919750,-0.48
2021-07-28,6240,6270,6210,6230,101017,630220540,-0.32
2021-07-29,6290,6290,6230,6250,81925,511878640,0.32
2021-07-30,6290,6290,6170,6190,158427,981323060,-0.96
2021-08-02,6170,6220,6160,6160,60800,375686320,-0.48
2021-08-03,6160,6200,6130,6140,91924,565932760,-0.32
2021-08-04,6140,6220,6140,6220,86981,539059530,1.3
2021-08-05,6220,6270,6200,6240,90503,563081670,0.32
2021-08-06,6300,6500,6250,6330,442016,2821289400,1.44
2021-08-09,6440,6450,6330,6430,237001,1515998970,1.58
2021-08-10,6480,6540,6410,6450,293676,1900681810,0.31
2021-08-11,6510,6650,6390,6440,480580,3121709620,-0.16
2021-08-12,6440,6510,6430,6430,153050,989509410,-0.16
2021-08-13,6430,6470,6260,6320,294327,1862223710,-1.71
2021-08-17,6320,6340,6090,6100,410490,2519282840,-3.48
2021-08-18,6060,6270,6060,6230,142505,881557980,2.13
2021-08-19,6210,6420,6090,6120,285014,1770775780,-1.77
2021-08-20,6090,6210,5970,6040,276441,1677924770,-1.31
2021-08-23,5990,6140,5990,6000,307892,1863335840,-0.66
2021-08-24,6000,6170,6000,6140,144041,881094140,2.33
2021-08-25,6180,6200,6110,6190,113397,699079250,0.81
2021-08-26,6190,6260,6130,6180,122075,755498590,-0.16
2021-08-27,6130,6250,6090,6230,110584,684598840,0.81
2021-08-30,6320,6410,6300,6360,232110,1477499330,2.09
2021-08-31,6360,6410,6300,6330,152053,962598470,-0.47
2021-09-01,6360,6390,6280,6390,110182,699707730,0.95
2021-09-02,6400,6400,6330,6380,138293,880094160,-0.16
2021-09-03,6380,6440,6380,6410,127972,820112100,0.47
2021-09-06,6420,6510,6380,6390,191837,1234828940,-0.31
2021-09-07,6350,6420,6300,6410,151301,962354210,0.31
2021-09-08,6420,6430,6310,6400,113223,722901740,-0.16
2021-09-09,6400,6420,6310,6330,109393,693955220,-1.09
2021-09-10,6280,6420,6280,6320,136742,867702990,-0.16
2021-09-13,6270,6350,6230,6250,105306,661320960,-1.11
2021-09-14,6250,6290,6240,6260,113247,708659900,0.16
2021-09-15,6270,6270,6180,6230,120570,750209440,-0.48
2021-09-16,6260,6260,6100,6180,184004,1133322780,-0.8
2021-09-17,6180,6210,6090,6090,154972,951127170,-1.46
2021-09-23,6100,6140,5950,6020,271019,1630121050,-1.15
2021-09-24,6050,6100,6030,6080,108503,659073360,1.0
2021-09-27,6050,6240,6050,6200,141497,871906070,1.97
2021-09-28,6150,6270,6030,6050,143130,874067300,-2.42
2021-09-29,6010,6040,5900,5970,199192,1186699090,-1.32
2021-09-30,5940,6020,5940,5980,75071,448249780,0.17
2021-10-01,5980,5980,5650,5680,439875,2520112440,-5.02
2021-10-05,5530,5610,5360,5560,393375,2161733090,-2.11
2021-10-06,5520,5640,5310,5500,460475,2489897850,-1.08
2021-10-07,5470,5620,5470,5600,184260,1022248830,1.82
2021-10-08,5630,5720,5580,5660,119048,671656910,1.07
2021-10-12,5600,5630,5350,5380,271046,1465990110,-4.95
2021-10-13,5330,5450,5330,5360,143100,770485790,-0.37
2021-10-14,5390,5520,5390,5480,142833,781102170,2.24
2021-10-15,5590,5640,5490,5600,139037,773548150,2.19
2021-10-18,5620,5850,5620,5770,231232,1328604920,3.04
2021-10-19,5750,5790,5630,5680,152659,868917790,-1.56
2021-10-20,5720,5720,5610,5680,119940,678592850,0.0
2021-10-21,5700,5780,5680,5710,92083,527228380,0.53
2021-10-22,5720,6150,5720,5840,3837295,23050920160,2.28
2021-10-25,5850,5920,5780,5830,268219,1566367840,-0.17
2021-10-26,5810,5940,5720,5800,324144,1883701870,-0.51
2021-10-27,5820,5850,5730,5770,131224,756268700,-0.52
2021-10-28,5820,5820,5750,5750,106768,616478240,-0.35
2021-10-29,5780,5800,5530,5540,305508,1721658700,-3.65
2021-11-01,5580,5720,5540,5610,187485,1052907440,1.26
2021-11-02,5690,5760,5610,5760,196064,1114873690,2.67
2021-11-03,5760,5820,5660,5700,129462,740731020,-1.04
2021-11-04,5760,5850,5720,5800,518153,3157774230,1.75
2021-11-05,7200,7230,6000,6060,8276904,54013149770,4.48
2021-11-08,6110,6150,5810,5900,987051,5843243060,-2.64
2021-11-09,5950,6070,5910,5950,630830,3782801800,0.85
2021-11-10,5870,5940,5780,5810,515461,3004203980,-2.35
2021-11-11,5820,6100,5710,6060,842960,5013692610,4.3
2021-11-12,6040,6100,5960,5990,348303,2092136500,-1.16
2021-11-15,6100,6100,5940,6030,359347,2154520390,0.67
2021-11-16,6060,6100,5960,6090,447629,2705739030,1.0
2021-11-17,6120,6120,5950,6010,362844,2183522160,-1.31
2021-11-18,5980,5990,5830,5950,356738,2104590890,-1.0
2021-11-19,5880,5950,5830,5840,258476,1517368230,-1.85
2021-11-22,5890,5890,5670,5700,398313,2283364940,-2.4
2021-11-23,5730,5840,5670,5780,209449,1203390010,1.4
2021-11-24,5790,5840,5740,5790,207429,1200930180,0.17
2021-11-25,5790,5830,5760,5800,154519,895446100,0.17
2021-11-26,5790,5830,5460,5480,484727,2706418980,-5.52
2021-11-29,5310,5400,5190,5220,490612,2594323200,-4.74
2021-11-30,5250,5290,4910,4910,793483,3973495820,-5.94
2021-12-01,4870,4975,4820,4940,256977,1261033325,0.61
2021-12-02,4860,5070,4855,5070,256566,1279806575,2.63
2021-12-03,5070,5170,5050,5140,148904,762482490,1.38
2021-12-06,5060,5140,5050,5100,146732,749146720,-0.78
2021-12-07,5150,5190,5090,5150,187458,964594410,0.98
2021-12-08,5230,5230,5140,5160,117259,608135830,0.19
2021-12-09,5180,5250,5150,5200,80459,418536750,0.78
2021-12-10,5260,5260,5180,5200,124707,648929710,0.0
2021-12-13,5210,5310,5190,5240,121438,638551240,0.77
2021-12-14,5210,5250,5090,5210,70355,365301030,-0.57
2021-12-15,5220,5250,5190,5210,58416,305049980,0.0
2021-12-16,5220,5240,5180,5210,89838,467799310,0.0
2021-12-17,5200,5340,5180,5330,96361,509907010,2.3
2021-12-20,5280,5350,5250,5250,93493,493163720,-1.5
2021-12-21,5240,5280,5210,5280,81380,427236190,0.57
2021-12-22,5260,5380,5250,5350,103746,551354050,1.33
2021-12-23,5370,5380,5240,5250,96644,511542630,-1.87
2021-12-24,5250,5350,5250,5310,62213,329649240,1.14
2021-12-27,5320,5370,5300,5350,84924,453609130,0.75
2021-12-28,5350,5380,5290,5320,138178,735457670,-0.56
2021-12-29,5320,5320,5240,5310,60366,319187620,-0.19
2021-12-30,5260,5320,5250,5290,142976,754152560,-0.38
